;competition;date;distance;finishCoords;finishPort;gliderImat;gliderType;pilotClub;pilotName;shape;speed;startCoords;startPort;type
41;0;24.01.2019;342.3;32'08'301S,148'06'507E;;VH-GZR      ;Std. Cirrus;Raná;Petr Beneš;2OB;69.71;32'12'950S,148'13'467E;;volný let na vzdálenost
42;0;25.01.2019;425.7;32'12'950S,148'13'467E;;VH-GZR      ;Std. Cirrus;Raná;Petr Beneš;FAI trojúhelník s odletem z ramene;75.15;32'12'950S,148'13'467E;;rychlostní let se změnou tratě za letu
43;0;31.01.2019;518.9;32'13'033S,148'13'417E;;VH-GFV;Discus b +W;Mladá Boleslav;Vojtěch Hájek;polygon s 5OB;82.42;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
44;0;31.01.2019;685.5;32'12'950S,148'13'467E;;VH-GKC;Duo Discus (T) (700kg);Toužim;Pavel Jiránek;trojúhelník s odletem z ramene;98.81;32'12'950S,148'13'467E;;rychlostní let se změnou tratě za letu
45;0;31.01.2019;860.6;32'13'033S,148'13'417E;;VH-WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;FAI trojúhelník s odletem z ramene;112.39;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
46;0;29.01.2019;384.0;32'13'033S,148'13'417E;;VH-GFV;Discus b +W;Mladá Boleslav;Vojtěch Hájek;polygon s 3OB;85.03;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
47;0;29.01.2019;620.4;32'13'033S,148'13'417E;;VH-WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;FAI trojúhelník s odletem z ramene;133.81;32'13'033S,148'13'417E;;rychlostní let podle deklarace
48;0;28.01.2019;110.0;32'12'895S,148'13'494E;;VH-GOC;G-103 Twin Basic;Mladá Boleslav;Vojtěch Hájek;polygon s 5OB;56.39;32'13'506S,148'12'859E;;není možné podle pravidel bodovat
49;0;28.01.2019;756.4;32'13'033S,148'13'417E;;VH-WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;FAI trojúhelník s odletem z ramene;105.26;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
50;0;27.01.2019;565.7;32'13'033S,148'13'417E;;VH-WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;trojúhelník;116.6;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
51;0;25.01.2019;791.2;32'13'033S,148'13'417E;;VH-WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;FAI trojúhelník s odletem z ramene;91.57;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
52;0;25.01.2019;244.6;32'13'033S,148'13'417E;;VH-GKC;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;polygon s 3OB;81.78;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
53;0;25.01.2019;781.3;32'13'033S,148'13'417E;;WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;FAI trojúhelník s odletem z ramene;125.24;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
54;0;24.01.2019;728.1;26'40'367S,27'04'983E;;YU-4477;JS1-A/B/C(TJ) 18;Česká Lípa;Petr Hotový;FAI trojúhelník;146.92;26'40'367S,27'04'983E;;rychlostní let podle deklarace
55;0;24.01.2019;369.3;32'24'844S,147'53'459E;;VH-GFV;Discus b +W;Mladá Boleslav;Vojtěch Hájek;2OB;77.68;32'13'033S,148'13'417E;;volný let na vzdálenost
56;0;24.01.2019;531.5;32'13'033S,148'13'417E;;VH WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;FAI trojúhelník s odletem z ramene;102.43;32'13'033S,148'13'417E;;rychlostní let podle deklarace
57;0;22.01.2019;1003.6;26'40'367S,27'04'983E;;YU-4477;JS1-A/B/C(TJ) 18;Česká Lípa;Petr Hotový;FAI trojúhelník;125.95;26'40'367S,27'04'983E;;rychlostní let podle deklarace
58;0;22.01.2019;343.5;32'13'033S,148'13'417E;;VH-GKC;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;polygon s 3OB;100.38;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
59;0;22.01.2019;783.4;32'13'033S,148'13'417E;;VH-WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;FAI trojúhelník s odletem z ramene;111.95;32'13'033S,148'13'417E;;rychlostní let podle deklarace
60;0;21.01.2019;415.8;33'23'176S,70'34'598W;;CC-ASZ;DG-1000S 20m;Turnov;Štefan Uher;polygon s 5OB;90.2;33'21'092S,70'37'993W;;není možné podle pravidel bodovat
61;0;21.01.2019;766.0;26'40'367S,27'04'983E;;YU-4477;JS1-A/B/C(TJ) 18;Česká Lípa;Petr Hotový;FAI trojúhelník;128.31;26'40'367S,27'04'983E;;rychlostní let podle deklarace
62;0;21.01.2019;502.9;32'13'033S,148'13'417E;;VH-WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;trojúhelník s odletem z ramene;95.42;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
63;0;20.01.2019;336.3;32'12'812S,148'15'062E;;VH-GZR;Std. Cirrus;Raná;Petr Beneš;polygon s 5OB;84.67;32'11'089S,148'14'378E;;není možné podle pravidel bodovat
64;0;20.01.2019;838.3;32'13'033S,148'13'417E;;VH-WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;polygon s 5OB;123.93;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
65;0;18.01.2019;1016.0;26'40'367S,27'04'983E;;YU-4477;JS1-A/B/C(TJ) 18;Česká Lípa;Petr Hotový;polygon s 5OB;129.93;26'40'367S,27'04'983E;;rychlostní let se změnou tratě za letu
66;0;18.01.2019;129.0;32'14'795S,148'14'256E;;VH-GOC;G-103 Twin Basic;Mladá Boleslav;Vojtěch Hájek;polygon s 5OB;55.5;32'13'744S,148'14'190E;;není možné podle pravidel bodovat
67;0;18.01.2019;804.4;32'13'033S,148'13'417E;;VH-WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;FAI trojúhelník s odletem z ramene;110.49;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
68;0;17.01.2019;950.8;28'57'683S,23'43'150E;;OK 2729;ASG-29(E) 18m;GAC Benešov;Ondřej Dupal;FAI trojúhelník;150.96;28'57'683S,23'43'150E;;rychlostní let podle deklarace
69;0;17.01.2019;754.6;32'13'033S,148'13'417E;;VH-WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;FAI trojúhelník s odletem z ramene;133.39;32'13'033S,148'13'417E;;rychlostní let podle deklarace
70;0;17.01.2019;301.4;32'13'033S,148'13'417E;;VH-GKC;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;polygon s 3OB;111.71;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
71;0;17.01.2019;160.0;32'13'033S,148'13'417E;;VH-GKC;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;trojúhelník;79.58;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
72;0;16.01.2019;901.1;30'33'700S,25'31'767E;;YU-4477;JS1-A/B/C(TJ) 18;Česká Lípa;Petr Hotový;trojúhelník s odletem z ramene;124.82;30'33'700S,25'31'767E;;rychlostní let se změnou tratě za letu
73;0;16.01.2019;512.5;30'33'700S,25'31'767E;;D-KSEL ;Duo Discus X(T);Jičín;Tomáš Profeld;FAI trojúhelník;98.75;30'33'700S,25'31'767E;;rychlostní let podle deklarace
74;0;16.01.2019;766.1;32'13'033S,148'13'417E;;VH-WPP;Ventus 2a /15m;GAC Benešov;Tomáš Suchánek;FAI trojúhelník s odletem z ramene;136.6;32'13'033S,148'13'417E;;rychlostní let podle deklarace
75;0;16.01.2019;522.8;32'13'033S,148'13'417E;;VH-CQO;LS-4;Raná;Petr Beneš;trojúhelník s odletem z ramene;90.71;32'13'033S,148'13'417E;;rychlostní let podle deklarace
76;0;15.01.2019;1007.3;23'19'667S,17'56'833E;;D-KOWL;Arcus E/M/S/T;Prievidza;Gabriela Belakova;polygon s 5OB;134.43;23'19'667S,17'56'833E;;rychlostní let se změnou tratě za letu
77;0;15.01.2019;501.5;28'49'350S,23'41'767E;;OK 2729;ASG-29(E) 18m;GAC Benešov;Ondřej Dupal;návratová;136.58;28'49'350S,23'41'767E;;rychlostní let podle deklarace
78;0;14.01.2019;575.2;30'33'700S,25'31'767E;;YU-4477;JS1-A/B/C(TJ) 18;Česká Lípa;Petr Hotový;FAI trojúhelník s odletem z ramene;103.37;30'33'700S,25'31'767E;;rychlostní let podle deklarace
79;0;14.01.2019;751.4;28'57'683S,23'43'150E;;OK 2729;ASG-29(E) 18m;GAC Benešov;Ondřej Dupal;FAI trojúhelník s odletem z ramene;119.42;28'57'683S,23'43'150E;;rychlostní let podle deklarace
80;0;14.01.2019;348.8;30'33'700S,25'31'767E;;D-KSEL _;Duo Discus X(T);Jičín;Miroslav Trybuček;trojúhelník s odletem z ramene;80.84;30'33'700S,25'31'767E;;rychlostní let se změnou tratě za letu
81;0;14.01.2019;228.9;32'12'784S,148'14'298E;;VH-CHA;Arcus E/M/S/T;Toužim;Pavel Jiránek;polygon s 5OB;80.31;32'49'828S,148'15'017E;;není možné podle pravidel bodovat
82;0;12.01.2019;196.1;30'33'717S,25'31'767E;;D-KSEL;Duo Discus X(T);Broumov;Vratislav Šrám;polygon s 5OB;57.6;30'33'717S,25'31'767E;;rychlostní let se změnou tratě za letu
83;0;13.01.2019;541.4;23'19'667S,17'56'833E;;D-KOWL;Arcus E/M/S/T;Prievidza;Gabriela Belakova;trojúhelník;122.29;23'19'667S,17'56'833E;;rychlostní let podle deklarace
84;0;11.01.2019;471.8;23'19'667S,17'56'833E;;D-KOWL;Arcus E/M/S/T;Prievidza;Gabriela Belakova;trojúhelník;103.71;23'19'667S,17'56'833E;;rychlostní let podle deklarace
85;0;10.01.2019;406.9;30'33'717S,25'31'767E;;D-KSEL;Duo Discus X(T);Plzeň-Letkov;Roman Lanzendorf;polygon s 5OB;66.6;30'33'717S,25'31'767E;;rychlostní let se změnou tratě za letu
86;0;10.01.2019;1080.7;30'33'700S,25'31'767E;;YU-4477;JS1-A/B/C(TJ) 18;Česká Lípa;Petr Hotový;polygon s 5OB;130.49;30'33'700S,25'31'767E;;rychlostní let se změnou tratě za letu
87;0;10.01.2019;335.3;32'13'033S,148'13'417E;;VH-GKC;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;polygon s 5OB;118.77;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
88;0;10.01.2019;236.7;32'13'033S,148'13'417E;;VH-GKC;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;trojúhelník;119.86;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
89;0;09.01.2019;500.4;29'47'283S,24'07'983E;;OK 2729;ASG-29(E) 18m;GAC Benešov;Ondřej Dupal;návratová;142.31;29'47'283S,24'07'983E;;rychlostní let podle deklarace
90;0;09.01.2019;346.4;32'13'720S,148'12'480E;;VH-GBV    ;H-201 Std. Libelle;Raná;Petr Beneš;2OB;66.52;32'43'740S,148'12'666E;;volný let na vzdálenost
91;0;09.01.2019;302.7;32'13'033S,148'13'417E;;VH-GKC;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;polygon s 3OB;110.52;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
92;0;09.01.2019;217.3;32'13'033S,148'13'417E;;VH-GKC;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;trojúhelník;101.28;32'13'033S,148'13'417E;;rychlostní let se změnou tratě za letu
93;0;08.01.2019;796.1;23'26'000S,18'16'167E;;OK-7393;HpH 304 TS Twin Shark (M) S;Zbraslavice;Jaroslav Potměšil;polygon s 5OB;118.65;23'26'000S,18'16'167E;;rychlostní let se změnou tratě za letu
94;0;08.01.2019;1028.7;28'58'117S,23'49'117E;;OK 2729;ASG-29(E) 18m;GAC Benešov;Ondřej Dupal;FAI trojúhelník s odletem z ramene;139.06;28'58'117S,23'49'117E;;rychlostní let podle deklarace
95;0;08.01.2019;465.8;30'33'717S,25'31'767E;;D-KSEL;Duo Discus X(T);Broumov;Vratislav Šrám;trojúhelník s odletem z ramene;120.75;30'33'717S,25'31'767E;;rychlostní let se změnou tratě za letu
